source;author;title;description;url;urlToImage;publishedAt;content;doc_id;time_stamp;teaser;sponsored;tag;condition
bbc-news;BBC News;China wants to ban clothes that 'hurt nation's feelings';A draft law sparks debate with locals calling it excessive and questioning how it would be enforced.;http://www.bbc.co.uk/news/world-asia-china-66737272;https://ichef.bbci.co.uk/news/1024/branded_news/7FA8/production/_131008623_gettyimages-1265207063.jpg;September 07, 2023 06:22 AM;"A draft law banning speech and dressing ""detrimental to the spirit of Chinese people"" has sparked debate in China.
If the law comes into force, people found guilty could be fined or jailed but the p…  Consectetur pellentesque ut nascetur, taciti vitae dis potenti cursus! Eu condimentum tortor suscipit! Tempor euismod morbi nisi diam justo volutpat fusce varius natoque. Iaculis tortor, volutpat, ad tincidunt elementum nam consequat sed risus. Molestie tristique, taciti suscipit at nostra sociosqu, ullamcorper nostra ornare eleifend? Fermentum varius dis a montes fringilla. Fermentum sociis habitant interdum sed arcu: inceptos mattis varius quis conubia. Hendrerit donec accumsan est mi dapibus enim commodo consequat. Lectus mattis tortor, orci ullamcorper non rhoncus cum! Cubilia id dui ante senectus, ut senectus litora. Mus cum sed feugiat vitae imperdiet urna donec eget. Duis malesuada quam dapibus ridiculus; eros eros auctor odio risus mattis? Purus tempor nisl rhoncus tempus vitae: ligula etiam. Sodales mi, est sociosqu id suscipit ut, nisl dignissim? In luctus hac neque, natoque enim feugiat tellus vehicula. Bibendum habitasse mi lacus suspendisse lacus, sollicitudin velit vehicula! Integer tincidunt ante tristique metus cubilia duis? Fusce maecenas magna at mi interdum non vitae pharetra. Quam tristique donec iaculis vulputate porta.<br><br>Aenean commodo. Erat dignissim; luctus imperdiet, inceptos eget augue dignissim placerat rutrum. Libero non nascetur posuere lobortis ac massa mi eleifend ultrices primis? Pharetra imperdiet vestibulum fusce duis convallis! Accumsan libero class lacus; curae aptent natoque varius vulputate? Tortor montes duis consequat nec nascetur imperdiet commodo mattis ante vehicula faucibus? Sodales molestie suspendisse feugiat ullamcorper placerat congue litora per. Arcu sociosqu leo massa nulla vel faucibus netus, pharetra eget? Vehicula ut nostra suspendisse non, varius faucibus dui habitasse auctor aliquam proin gravida nostra! Feugiat magna tempor fringilla maecenas praesent accumsan; est sociosqu platea facilisi magna. Bibendum nascetur nam suscipit viverra aliquet volutpat egestas, nulla vestibulum. Montes euismod cum lacus, tortor tempus sociosqu venenatis habitasse suscipit mi, justo interdum phasellus class. Justo suspendisse habitant morbi, praesent mollis vestibulum – tempus lacus? Primis sociis class magnis neque suspendisse ac primis? Molestie tristique potenti lacinia dignissim senectus; nullam quisque sapien ullamcorper sagittis himenaeos? Habitasse mi facilisis massa ut, vel faucibus vulputate etiam dignissim taciti, justo aliquam. Erat nascetur ullamcorper.";14;2023-09-07T06:22:16Z;"A draft law banning speech and dressing ""detrimental to the spirit of Chinese people"" has sparked debate in China.
If the law comes into force, people found guilty could be fined or jailed but the p… ";FALSE;Random Apple Tag;B
bbc-news;BBC News;Judge to sentence actor Danny Masterson to prison for two rapes;The star of That '70s Show will learn his punishment after victim impact statements are read in court.;http://www.bbc.co.uk/news/world-us-canada-66744480;https://ichef.bbci.co.uk/news/1024/branded_news/169C7/production/_129951629_c0c73c9a-8490-4fba-8c7c-8801a732ab01.jpg;September 07, 2023 03:37 PM;"A judge in Los Angeles is due to decide the prison sentence for US actor Danny Masterson, who was convicted in May of raping two women in the early 2000s.
The star of That '70s Show, a TV sit-com se…  Consectetur pellentesque ut nascetur, taciti vitae dis potenti cursus! Eu condimentum tortor suscipit! Tempor euismod morbi nisi diam justo volutpat fusce varius natoque. Iaculis tortor, volutpat, ad tincidunt elementum nam consequat sed risus. Molestie tristique, taciti suscipit at nostra sociosqu, ullamcorper nostra ornare eleifend? Fermentum varius dis a montes fringilla. Fermentum sociis habitant interdum sed arcu: inceptos mattis varius quis conubia. Hendrerit donec accumsan est mi dapibus enim commodo consequat. Lectus mattis tortor, orci ullamcorper non rhoncus cum! Cubilia id dui ante senectus, ut senectus litora. Mus cum sed feugiat vitae imperdiet urna donec eget. Duis malesuada quam dapibus ridiculus; eros eros auctor odio risus mattis? Purus tempor nisl rhoncus tempus vitae: ligula etiam. Sodales mi, est sociosqu id suscipit ut, nisl dignissim? In luctus hac neque, natoque enim feugiat tellus vehicula. Bibendum habitasse mi lacus suspendisse lacus, sollicitudin velit vehicula! Integer tincidunt ante tristique metus cubilia duis? Fusce maecenas magna at mi interdum non vitae pharetra. Quam tristique donec iaculis vulputate porta.<br><br>Aenean commodo. Erat dignissim; luctus imperdiet, inceptos eget augue dignissim placerat rutrum. Libero non nascetur posuere lobortis ac massa mi eleifend ultrices primis? Pharetra imperdiet vestibulum fusce duis convallis! Accumsan libero class lacus; curae aptent natoque varius vulputate? Tortor montes duis consequat nec nascetur imperdiet commodo mattis ante vehicula faucibus? Sodales molestie suspendisse feugiat ullamcorper placerat congue litora per. Arcu sociosqu leo massa nulla vel faucibus netus, pharetra eget? Vehicula ut nostra suspendisse non, varius faucibus dui habitasse auctor aliquam proin gravida nostra! Feugiat magna tempor fringilla maecenas praesent accumsan; est sociosqu platea facilisi magna. Bibendum nascetur nam suscipit viverra aliquet volutpat egestas, nulla vestibulum. Montes euismod cum lacus, tortor tempus sociosqu venenatis habitasse suscipit mi, justo interdum phasellus class. Justo suspendisse habitant morbi, praesent mollis vestibulum – tempus lacus? Primis sociis class magnis neque suspendisse ac primis? Molestie tristique potenti lacinia dignissim senectus; nullam quisque sapien ullamcorper sagittis himenaeos? Habitasse mi facilisis massa ut, vel faucibus vulputate etiam dignissim taciti, justo aliquam. Erat nascetur ullamcorper.";1;2023-09-07T15:37:23Z;"A judge in Los Angeles is due to decide the prison sentence for US actor Danny Masterson, who was convicted in May of raping two women in the early 2000s.
The star of That '70s Show, a TV sit-com se… ";FALSE;Random Apple Tag;B
random-ad;;Places to visit in 2024!;;https://your-link-here.com;https://images.unsplash.com/photo-1692983308144-4421ad60809b?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=3870&q=80;September 07, 2023 02:00 PM;;5;2023-09-07T14:00:16Z;Travelling helps you to not only discover the world but to rediscover yourself. Allow us to do that by finding you the exact place where you want to be with the most entertaining people. Let’s all rediscover ourselves.;TRUE;Random Apple Tag;A
time;Justin Worland;Can Climate Policy Survive a Future GOP Administration?;Republicans don't like climate policy but the path to nix it may be more difficult than meets the eye.;http://time.com/6310299/can-climate-policy-survive-a-future-gop-administration/;https://api.time.com/wp-content/uploads/2023/08/Republican-presidential-candidates-debate-climate-change.jpg?quality=85;September 07, 2023 12:48 PM;"In the year since the Inflation Reduction Act (IRA) became law, Ive heard versions of the same question keep coming up on the road from people interested in taking advantage of the laws programs: wil…  Consectetur pellentesque ut nascetur, taciti vitae dis potenti cursus! Eu condimentum tortor suscipit! Tempor euismod morbi nisi diam justo volutpat fusce varius natoque. Iaculis tortor, volutpat, ad tincidunt elementum nam consequat sed risus. Molestie tristique, taciti suscipit at nostra sociosqu, ullamcorper nostra ornare eleifend? Fermentum varius dis a montes fringilla. Fermentum sociis habitant interdum sed arcu: inceptos mattis varius quis conubia. Hendrerit donec accumsan est mi dapibus enim commodo consequat. Lectus mattis tortor, orci ullamcorper non rhoncus cum! Cubilia id dui ante senectus, ut senectus litora. Mus cum sed feugiat vitae imperdiet urna donec eget. Duis malesuada quam dapibus ridiculus; eros eros auctor odio risus mattis? Purus tempor nisl rhoncus tempus vitae: ligula etiam. Sodales mi, est sociosqu id suscipit ut, nisl dignissim? In luctus hac neque, natoque enim feugiat tellus vehicula. Bibendum habitasse mi lacus suspendisse lacus, sollicitudin velit vehicula! Integer tincidunt ante tristique metus cubilia duis? Fusce maecenas magna at mi interdum non vitae pharetra. Quam tristique donec iaculis vulputate porta.<br><br>Aenean commodo. Erat dignissim; luctus imperdiet, inceptos eget augue dignissim placerat rutrum. Libero non nascetur posuere lobortis ac massa mi eleifend ultrices primis? Pharetra imperdiet vestibulum fusce duis convallis! Accumsan libero class lacus; curae aptent natoque varius vulputate? Tortor montes duis consequat nec nascetur imperdiet commodo mattis ante vehicula faucibus? Sodales molestie suspendisse feugiat ullamcorper placerat congue litora per. Arcu sociosqu leo massa nulla vel faucibus netus, pharetra eget? Vehicula ut nostra suspendisse non, varius faucibus dui habitasse auctor aliquam proin gravida nostra! Feugiat magna tempor fringilla maecenas praesent accumsan; est sociosqu platea facilisi magna. Bibendum nascetur nam suscipit viverra aliquet volutpat egestas, nulla vestibulum. Montes euismod cum lacus, tortor tempus sociosqu venenatis habitasse suscipit mi, justo interdum phasellus class. Justo suspendisse habitant morbi, praesent mollis vestibulum – tempus lacus? Primis sociis class magnis neque suspendisse ac primis? Molestie tristique potenti lacinia dignissim senectus; nullam quisque sapien ullamcorper sagittis himenaeos? Habitasse mi facilisis massa ut, vel faucibus vulputate etiam dignissim taciti, justo aliquam. Erat nascetur ullamcorper.";6;2023-09-07T12:48:47Z;In the year since the Inflation Reduction Act (IRA) became law, Ive heard versions of the same question keep coming up on the road from people interested in taking advantage of the laws programs: wil… ;FALSE;Random Apple Tag;B
the-washington-post;Karla L. Miller;Work Advice: If a worker wants to record our chat, what should I do?;I thought we had a trusting relationship. Then my employee wanted to record our discussion.;https://www.washingtonpost.com/business/2023/09/07/recording-conversations-work-advice/;https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/H2ES4LBXGMI6VIP7YSGB2WNEUE.jpg&w=1440;September 07, 2023 11:00 AM;"Reader: As a leader in my organization for a number of years, I have what I previously thought were positive relationships and loyal staff.
Recently I discovered that…  Consectetur pellentesque ut nascetur, taciti vitae dis potenti cursus! Eu condimentum tortor suscipit! Tempor euismod morbi nisi diam justo volutpat fusce varius natoque. Iaculis tortor, volutpat, ad tincidunt elementum nam consequat sed risus. Molestie tristique, taciti suscipit at nostra sociosqu, ullamcorper nostra ornare eleifend? Fermentum varius dis a montes fringilla. Fermentum sociis habitant interdum sed arcu: inceptos mattis varius quis conubia. Hendrerit donec accumsan est mi dapibus enim commodo consequat. Lectus mattis tortor, orci ullamcorper non rhoncus cum! Cubilia id dui ante senectus, ut senectus litora. Mus cum sed feugiat vitae imperdiet urna donec eget. Duis malesuada quam dapibus ridiculus; eros eros auctor odio risus mattis? Purus tempor nisl rhoncus tempus vitae: ligula etiam. Sodales mi, est sociosqu id suscipit ut, nisl dignissim? In luctus hac neque, natoque enim feugiat tellus vehicula. Bibendum habitasse mi lacus suspendisse lacus, sollicitudin velit vehicula! Integer tincidunt ante tristique metus cubilia duis? Fusce maecenas magna at mi interdum non vitae pharetra. Quam tristique donec iaculis vulputate porta.<br><br>Aenean commodo. Erat dignissim; luctus imperdiet, inceptos eget augue dignissim placerat rutrum. Libero non nascetur posuere lobortis ac massa mi eleifend ultrices primis? Pharetra imperdiet vestibulum fusce duis convallis! Accumsan libero class lacus; curae aptent natoque varius vulputate? Tortor montes duis consequat nec nascetur imperdiet commodo mattis ante vehicula faucibus? Sodales molestie suspendisse feugiat ullamcorper placerat congue litora per. Arcu sociosqu leo massa nulla vel faucibus netus, pharetra eget? Vehicula ut nostra suspendisse non, varius faucibus dui habitasse auctor aliquam proin gravida nostra! Feugiat magna tempor fringilla maecenas praesent accumsan; est sociosqu platea facilisi magna. Bibendum nascetur nam suscipit viverra aliquet volutpat egestas, nulla vestibulum. Montes euismod cum lacus, tortor tempus sociosqu venenatis habitasse suscipit mi, justo interdum phasellus class. Justo suspendisse habitant morbi, praesent mollis vestibulum – tempus lacus? Primis sociis class magnis neque suspendisse ac primis? Molestie tristique potenti lacinia dignissim senectus; nullam quisque sapien ullamcorper sagittis himenaeos? Habitasse mi facilisis massa ut, vel faucibus vulputate etiam dignissim taciti, justo aliquam. Erat nascetur ullamcorper.";9;2023-09-07T11:00:00Z;"Reader: As a leader in my organization for a number of years, I have what I previously thought were positive relationships and loyal staff.
Recently I discovered that… ";FALSE;Random Apple Tag;A
bbc-news;BBC News;Johnny Kitagawa: J-pop agency boss resigns over predator's abuse;Julie Fujishima admits for the first time that rampant sexual abuse took place in her uncle's agency.;http://www.bbc.co.uk/news/world-asia-66737052;https://ichef.bbci.co.uk/news/1024/branded_news/15810/production/_131008088_33b1afc9566c2487143f9eccda57b49ecf4812bb.jpg;September 07, 2023 08:22 AM;"The boss of Japan's biggest pop talent agency has resigned after finally admitting the sexual abuse committed by its late founder, Johnny Kitagawa.
Julie Fujishima resigned from Johnny and Associate…  Consectetur pellentesque ut nascetur, taciti vitae dis potenti cursus! Eu condimentum tortor suscipit! Tempor euismod morbi nisi diam justo volutpat fusce varius natoque. Iaculis tortor, volutpat, ad tincidunt elementum nam consequat sed risus. Molestie tristique, taciti suscipit at nostra sociosqu, ullamcorper nostra ornare eleifend? Fermentum varius dis a montes fringilla. Fermentum sociis habitant interdum sed arcu: inceptos mattis varius quis conubia. Hendrerit donec accumsan est mi dapibus enim commodo consequat. Lectus mattis tortor, orci ullamcorper non rhoncus cum! Cubilia id dui ante senectus, ut senectus litora. Mus cum sed feugiat vitae imperdiet urna donec eget. Duis malesuada quam dapibus ridiculus; eros eros auctor odio risus mattis? Purus tempor nisl rhoncus tempus vitae: ligula etiam. Sodales mi, est sociosqu id suscipit ut, nisl dignissim? In luctus hac neque, natoque enim feugiat tellus vehicula. Bibendum habitasse mi lacus suspendisse lacus, sollicitudin velit vehicula! Integer tincidunt ante tristique metus cubilia duis? Fusce maecenas magna at mi interdum non vitae pharetra. Quam tristique donec iaculis vulputate porta.<br><br>Aenean commodo. Erat dignissim; luctus imperdiet, inceptos eget augue dignissim placerat rutrum. Libero non nascetur posuere lobortis ac massa mi eleifend ultrices primis? Pharetra imperdiet vestibulum fusce duis convallis! Accumsan libero class lacus; curae aptent natoque varius vulputate? Tortor montes duis consequat nec nascetur imperdiet commodo mattis ante vehicula faucibus? Sodales molestie suspendisse feugiat ullamcorper placerat congue litora per. Arcu sociosqu leo massa nulla vel faucibus netus, pharetra eget? Vehicula ut nostra suspendisse non, varius faucibus dui habitasse auctor aliquam proin gravida nostra! Feugiat magna tempor fringilla maecenas praesent accumsan; est sociosqu platea facilisi magna. Bibendum nascetur nam suscipit viverra aliquet volutpat egestas, nulla vestibulum. Montes euismod cum lacus, tortor tempus sociosqu venenatis habitasse suscipit mi, justo interdum phasellus class. Justo suspendisse habitant morbi, praesent mollis vestibulum – tempus lacus? Primis sociis class magnis neque suspendisse ac primis? Molestie tristique potenti lacinia dignissim senectus; nullam quisque sapien ullamcorper sagittis himenaeos? Habitasse mi facilisis massa ut, vel faucibus vulputate etiam dignissim taciti, justo aliquam. Erat nascetur ullamcorper.";12;2023-09-07T08:22:17Z;"The boss of Japan's biggest pop talent agency has resigned after finally admitting the sexual abuse committed by its late founder, Johnny Kitagawa.
Julie Fujishima resigned from Johnny and Associate… ";FALSE;Random Apple Tag;B
the-washington-post;Julian Mark;SBA program upended in wake of Supreme Court affirmative action ruling;A judge struck down a provision of a federal program meant to help minority-owned businesses, a ruling that could imperil other programs that benefit underrepresented groups.;https://www.washingtonpost.com/business/2023/09/07/sba-8a-program-ruling-affirmative-action/;https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/JORKUZYJFUL2GKTV7CFPZTVGCY.jpg&w=1440;September 07, 2023 12:00 PM;"Thousands of Black, Latino and other minority business owners are scrambling to prove that their race puts them at a social disadvantage after a federal judge declared…  Consectetur pellentesque ut nascetur, taciti vitae dis potenti cursus! Eu condimentum tortor suscipit! Tempor euismod morbi nisi diam justo volutpat fusce varius natoque. Iaculis tortor, volutpat, ad tincidunt elementum nam consequat sed risus. Molestie tristique, taciti suscipit at nostra sociosqu, ullamcorper nostra ornare eleifend? Fermentum varius dis a montes fringilla. Fermentum sociis habitant interdum sed arcu: inceptos mattis varius quis conubia. Hendrerit donec accumsan est mi dapibus enim commodo consequat. Lectus mattis tortor, orci ullamcorper non rhoncus cum! Cubilia id dui ante senectus, ut senectus litora. Mus cum sed feugiat vitae imperdiet urna donec eget. Duis malesuada quam dapibus ridiculus; eros eros auctor odio risus mattis? Purus tempor nisl rhoncus tempus vitae: ligula etiam. Sodales mi, est sociosqu id suscipit ut, nisl dignissim? In luctus hac neque, natoque enim feugiat tellus vehicula. Bibendum habitasse mi lacus suspendisse lacus, sollicitudin velit vehicula! Integer tincidunt ante tristique metus cubilia duis? Fusce maecenas magna at mi interdum non vitae pharetra. Quam tristique donec iaculis vulputate porta.<br><br>Aenean commodo. Erat dignissim; luctus imperdiet, inceptos eget augue dignissim placerat rutrum. Libero non nascetur posuere lobortis ac massa mi eleifend ultrices primis? Pharetra imperdiet vestibulum fusce duis convallis! Accumsan libero class lacus; curae aptent natoque varius vulputate? Tortor montes duis consequat nec nascetur imperdiet commodo mattis ante vehicula faucibus? Sodales molestie suspendisse feugiat ullamcorper placerat congue litora per. Arcu sociosqu leo massa nulla vel faucibus netus, pharetra eget? Vehicula ut nostra suspendisse non, varius faucibus dui habitasse auctor aliquam proin gravida nostra! Feugiat magna tempor fringilla maecenas praesent accumsan; est sociosqu platea facilisi magna. Bibendum nascetur nam suscipit viverra aliquet volutpat egestas, nulla vestibulum. Montes euismod cum lacus, tortor tempus sociosqu venenatis habitasse suscipit mi, justo interdum phasellus class. Justo suspendisse habitant morbi, praesent mollis vestibulum – tempus lacus? Primis sociis class magnis neque suspendisse ac primis? Molestie tristique potenti lacinia dignissim senectus; nullam quisque sapien ullamcorper sagittis himenaeos? Habitasse mi facilisis massa ut, vel faucibus vulputate etiam dignissim taciti, justo aliquam. Erat nascetur ullamcorper.";7;2023-09-07T12:00:00Z;Thousands of Black, Latino and other minority business owners are scrambling to prove that their race puts them at a social disadvantage after a federal judge declared… ;FALSE;Random Apple Tag;A
